resourceid,resourcename,resourceorganization,resourcetypeabbr,scheduledays,resourcetitle,ratecategory,step,rate_regular,rate_regular_night,rate_regular_sunday,rate_regular_sunday_night, rate_overtime, rate_overtime_night, rate_overtime_sunday_night
261-20-3182,"Hancock, Roderick ES OFC",47,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
280-67-7704,"Fasano, Burton ES OFC",47,INT,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
343-28-9504,"Estrade, Yvonne ES OFC",47,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
356-44-4580,"Schoenstein, Taylor ES OFC",47,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
358-29-3374,"Klee, Eleanor ES OFC",47,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
546-96-4852,"Woodward, Junior ES OFC/T",47,INT,Sat - Wed,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
780-39-8103,"Blackwell, Hosea ES OFC",47,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
971-14-8516,"Lee, Kimberly ES OFC",47,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
099-88-2438,"Gonzalez, Lois ES OFC",48,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
242-61-4241,"Hamilton, Henry ES OFC",48,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
453-98-0082,"Billesbach, Katie ES OFC/T",48,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
575-77-3107,"Garrison, Shirley ES OFC",48,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
739-90-9407,"White, Kelly ES OFC",48,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
798-56-2539,"Murphy, Cheryl ES SGT/T",48,INT,Sat - Wed,Sergeant/Tech,LE-4T,4,38.24,42.06,47.8,51.62,57.36,61.18,70.74
856-01-2709,"Yusi, Marlin ES OFC",48,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
930-48-1448,"Housler, Monte ES OFC/T",48,PSS,Mon - Fri,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
948-41-4015,"Molaison, Luis ES OFC",48,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
954-75-6829,"Miranda, Lyle ES OFC",48,PSS,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
969-32-7028,"Grantz, Pamela ES SGT",48,PSS,Mon - Fri,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
973-68-5730,"Lara, Marilyn ES OFC",48,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
019-10-1378,"Gopin, Gregorio ES OFC",49,INT,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
037-17-7943,"Mathis, Ross ES OFC",49,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
143-50-1127,"Liddiard, Rodney ES OFC/T",49,INT,Sat - Wed,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
170-75-2303,"Hamm, Keven ES SGT",49,PSS,Mon - Fri,Sergeant,LE-4,6,39.74,43.71,49.68,53.65,59.61,63.58,73.52
176-60-3248,"Pytlewski, Edith ES OFC",49,PSS,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
221-39-8245,"Esparza, Lewis ES OFC",49,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
396-46-3535,"Beaudrie, Nicole ES OFC",49,PSS,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
428-01-3506,"Perry, Larry ES OFC",49,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
494-92-7350,"Serrano, Sanford ES OFC/T",49,PSS,Wed - Sun,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
636-24-5340,"Gary, Olen ES OFC",49,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
731-55-7799,"Stokes, Andre ES OFC",49,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
742-47-2211,"Flynn, Nathanial ES OFC/T",49,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
767-24-7526,"Ratana, Coy ES OFC",49,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
870-88-6744,"Curney, Jose ES OFC",49,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
965-69-1347,"Kochen, Bruce ES OFC",49,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
971-35-5009,"Done, Dylan ES OFC/T",49,PSS,Mon - Fri,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
046-27-9130,"Loosli, Branden ES OFC",50,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
133-64-3915,"Bergfalk, Spencer ES OFC",50,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
153-74-7062,"Dyron, Elvin ES OFC",50,INT,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
390-39-0640,"Atkins, Freddie ES OFC",50,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
489-52-9348,"Fronick, Carlton ES OFC/T",50,PSS,Sat - Wed,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
529-70-8627,"Pierannunzio, Ethel ES OFC/T",50,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
616-01-8142,"Escobar, Jerold ES OFC",50,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
731-01-8598,"Bunzey, Edgar ES OFC/T",50,PSS,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
745-99-0893,"Fleagle, Elsie ES SGT/T",50,PSS,Mon - Fri,Sergeant/Tech,LE-4T,6,42.13,46.34,52.66,56.88,63.2,67.41,77.94
903-99-7111,"Abdelmuti, Jerald ES OFC",50,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
946-19-8557,"Cheshier, Ray ES OFC/T",50,PSS,Wed - Sun,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
989-83-1808,"Tikkanen, Bryon ES OFC",50,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
284-04-7258,"Becker, Glen ES OFC",51,PSS,Wed - Sun,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
449-50-4703,"Dena, Joyce ES OFC",51,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
544-62-5485,"Cosio, Morris ES OFC",51,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
655-66-3008,"Sainte, Kenneth ES OFC",51,INT,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
676-45-8008,"Spease, Troy ES OFC",51,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
782-20-7531,"Grant, Teresa ES OFC",51,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
850-24-1878,"Patterson, Jeremy ES OFC",51,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
859-64-3036,"Hyer, Santos ES OFC/T",51,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
893-70-0661,"Cummings, Keith ES OFC",51,RADIO,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
935-90-1908,"Kimball, Chauncey ES OFC",51,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
267-65-3750,"Utvik, Ana ES OFC",52,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
291-66-0276,"Glor, Lloyd ES OFC/T",52,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
386-15-2700,"Harader, Dante ES OFC/T",52,PSS,Mon - Fri,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
505-37-3633,"Weaver, Loretta ES SGT",52,PSS,Mon - Fri,Sergeant,LE-4,7,41.58,45.73,51.97,56.13,62.37,66.52,76.92
529-79-1352,"Harbolt, Darren ES SGT/T",52,PSS,Sat - Wed,Sergeant/Tech,LE-4T,9,47.96,52.75,59.95,64.74,71.94,76.73,88.72
828-89-3676,"Bennett, Benjamin ES OFC",52,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
998-65-0221,"Police, Scotty ES OFC",52,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
272-98-6377,"Church, Quentin ES OFC",53,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
435-83-0962,"Dambach, Victoria ES OFC",53,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
473-28-1104,"Hughes, Bonnie ES OFC",53,INT,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
557-72-6986,"Zawacki, Preston ES OFC",53,INT,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
580-33-1569,"Nuse, Theodore ES OFC",53,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
591-19-1972,"Graham, Chadwick ES OFC",53,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
791-99-2788,"Laware, Michele ES OFC",53,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
827-78-7892,"Hardin, Ellis ES OFC",53,INT,Sat - Wed,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
886-67-7533,"Bickman, Shane ES OFC",53,PSS,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
887-10-3154,"Wuensch, Tim ES OFC/T",53,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
905-13-5636,"Posusta, Crystal ES LT",53,PSS,Wed - Sun,Lieutenant,LE-5,8,47.75,52.52,59.68,64.46,71.62,76.39,88.33
106-04-1907,"Sanchez, Walter ES OFC",54,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
253-40-9040,"Race, Joanne ES OFC",54,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
303-22-7018,"Mcconnell, Efrain ES LT",54,PSS,Mon - Fri,Lieutenant,LE-5,8,47.75,52.52,59.68,64.46,71.62,76.39,88.33
310-18-9112,"Mcall, Demetrius ES OFC",54,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
394-97-3962,"Gentry, Michale ES OFC",54,INT,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
491-58-3287,"Vanwagner, Jasper ES OFC",54,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
664-44-2705,"Rezac, Elizabeth ES OFC",54,PSS,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
700-83-6707,"Campos, Renaldo ES OFC",54,RADIO,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
949-92-7220,"Hanna, Augustine ES OFC",54,INT,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
119-61-3438,"Stenger, Kathy ES OFC",55,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
350-78-9636,"Parman, Lewis ES OFC/T",55,PSS,Sat - Wed,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
378-13-7433,"Mongiello, Derrick ES OFC",55,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
552-10-3657,"Murr, Damian ES OFC",55,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
675-96-3497,"Horn, Odis ES OFC",55,INT,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
764-87-4288,"Forrest, Hank ES OFC",55,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
826-13-2906,"Papich, Veronica ES OFC",55,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
948-83-3464,"Lawrence, Jeanette ES OFC",55,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
978-04-5316,"Ball, Peter ES OFC",55,PSS,Wed - Sun,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
329-67-1148,"Rauen, Trent ES OFC",56,INT,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
373-27-6646,"Laurenzano, Daniel ES OFC/T",56,PSS,Wed - Sun,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
459-04-5425,"Leyda, Jody ES SGT",56,PHYS SEC LEAD,Mon - Fri,Sergeant,LE-4,10,47.08,51.79,58.85,63.56,70.62,75.33,87.1
658-46-3823,"Byard, Christopher ES OFC",56,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
661-03-6238,"Thomas, James ES OFC",56,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
685-22-2726,"Duran, Arlene ES OFC",56,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
780-54-8064,"Fosbrook, Edmund ES SGT",56,PSS,Mon - Fri,Sergeant,LE-4,13,52.59,57.85,65.73,70.99,78.88,84.14,97.29
830-64-9129,"Kofler, George ES OFC",56,RADIO,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
897-37-3394,"Cross, Wayne ES OFC/T",56,PSS,Mon - Fri,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
958-68-0997,"Henry, Anthony ES OFC/T",56,PSS,Mon - Fri,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
001-97-5716,"Widmann, Dennis ES OFC/T",57,PSS,Mon - Fri,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
110-68-2082,"Fisher, Gerald ES OFC",57,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
155-73-4735,"Nathans, Earl ES OFC",57,PSS,Wed - Sun,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
235-84-0489,"Truog, Jeffery ES SGT",57,INT,Sat - Wed,Sergeant,LE-4,11,48.92,53.81,61.15,66.04,73.38,78.27,90.5
581-49-7054,"Heath, Horace ES OFC",57,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
635-31-4833,"Flenaugh, William ES OFC",57,PSS,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
792-92-1163,"Ramdas, Bertha ES OFC",57,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
887-90-4791,"Lord, Bruce ES OFC",57,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
086-45-5423,"Holcomb, Wilmer ES OFC",58,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
384-41-5706,"Gurley, Allan ES OFC",58,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
410-44-6036,"Barsoum, Freddie ES OFC",58,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
503-07-5525,"Dennis, Tom ES OFC/T",58,PSS,Mon - Fri,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
505-62-2936,"Singleton, Virgil ES LT",58,PSS,Mon - Fri,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
581-50-2361,"Hester, Joesph ES OFC",58,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
583-59-6816,"Maranan, Stephen ES OFC",58,INT,Sat - Wed,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
597-76-6979,"Randolph, Boyce ES OFC",58,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
711-08-1051,"Sullivan, Sean ES OFC",58,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
715-70-3840,"Resper, Caleb ES OFC",58,INT,Sat - Wed,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
159-62-4576,"Snider, Florence ES SGT",59,PSS,Sat - Wed,Sergeant,LE-4,7,41.58,45.73,51.97,56.13,62.37,66.52,76.92
200-27-3079,"Owens, Albert ES OFC",59,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
201-71-5037,"Ellison, Rolando ES OFC",59,INT,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
399-49-4863,"Robertson, Frances ES OFC",59,INT,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
433-10-5200,"Oshita, Domingo ES OFC/T",59,PSS,Sat - Wed,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
552-50-5447,"Beute, Casey ES SGT",59,PSS,Mon - Fri,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
645-01-6430,"Ibsen, Ellis ES OFC",59,PSS,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
067-89-0257,"Waldon, Annie ES SGT",60,PSS,Sat - Wed,Sergeant,LE-4,6,39.74,43.71,49.68,53.65,59.61,63.58,73.52
140-21-9311,"Frost, Cristopher ES OFC/T",60,INT,Sat - Wed,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
464-22-5001,"Dyer, Dewitt ES OFC/T",60,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
508-68-0559,"Quintana, Jay ES OFC",60,PSS,Wed - Sun,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
831-92-9190,"Dontas, Marcos ES OFC",60,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
098-99-0699,"Lowery, Shad ES OFC",61,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
161-40-8943,"Wojewoda, Jim ES OFC/T",61,INT,Sat - Wed,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
370-60-4068,"Tally, Victoria ES OFC",61,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
436-21-3478,"Preston, Winford ES OFC",61,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
627-92-0688,"Mauger, Joanne ES OFC",61,INT,Sat - Wed,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
838-56-0552,"Roth, Vincenzo ES OFC/T",61,PSS,Mon - Fri,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
932-45-8070,"Gross, Duane ES OFC",61,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
093-04-2615,"Gilbert, Pamela ES OFC",62,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
094-10-7907,"Brelsford, Malcolm ES OFC/T",62,PSS,Wed - Sun,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
136-30-4837,"Spires, Jason ES OFC/T",62,PSS,Sat - Wed,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
175-92-7743,"Holka, Shirley ES OFC",62,PSS,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
309-65-8760,"Pilarz, Adrian ES OFC",62,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
339-87-2344,"Frazier, Carolyn ES OFC",62,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
419-72-9990,"Salazar, Alexander ES OFC",62,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
586-79-5792,"Stinson, Ezra ES OFC",62,INT,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
757-89-4952,"Villanveua, Gerardo ES OFC/T",62,PSS,Mon - Fri,Officer/Tech,LE-1T,2,29.87,32.86,37.34,40.32,44.81,47.79,55.26
761-87-6575,"Hardy, Eric ES OFC",62,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
120-00-9373,"Karasti, Faustino ES OFC",63,PSS,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
133-89-6527,"Petrauskas, Dewey ES SGT",63,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
163-16-7152,"Pitts, Austin ES OFC",63,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
467-24-2036,"Sorenson, Jordan ES OFC",63,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
546-02-2043,"Alexander, Martin ES OFC",63,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
569-09-0746,"Hastings, Dewitt ES SGT",63,PSS,Mon - Fri,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
569-09-2728,"Cruz, Carol ES OFC",63,PSS,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
581-21-2409,"Dayem, Murray ES OFC",63,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
681-86-8550,"Rentschler, Roberto ES OFC/T",63,PSS,Mon - Fri,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
737-58-7031,"Ross, Matthew ES OFC",63,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
871-46-2126,"Hicks, Charlotte ES OFC",63,INT,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
903-75-1111,"Wilder, Derick ES OFC",63,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
054-37-2531,"Bryant, Paula ES OFC",64,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
353-61-7778,"Lepage, Patrick ES OFC/T",64,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
661-48-9676,"Rathgeber, Chase ES OFC",64,INT,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
717-11-2023,"Washington, Andrew ES OFC",64,PSS,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
952-69-6172,"Geiman, Garry ES OFC",64,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
187-82-0145,"Mountford, Angelo ES OFC",65,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
293-82-4535,"Linares, Micheal ES OFC",65,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
560-23-9982,"Herry, Jeremiah ES OFC/T",65,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
613-97-9407,"Bossert, Raymond ES OFC",65,INT,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
658-52-5336,"Murphy, Michael ES OFC",65,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
784-78-7398,"Sharber, Homer ES OFC",65,PSS,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
817-41-5692,"Herrera, Catherine ES SGT",65,PSS,Mon - Fri,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
848-73-4678,"Morrow, Sherwood ES OFC",65,INT,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
012-83-1501,"Rabelo, Trenton ES OFC",66,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
164-85-3802,"Lucek, Alicia ES OFC",66,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
272-62-3644,"Reed, John ES OFC",66,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
